ticker,price,timestamp
NVDA,135.58,2024-06-19 02:02:58.203108
NVDA,135.42,2024-06-18 18:05:17.507672
NVDA,130.98,2024-06-18 02:02:13.588674
NVDA,131.88,2024-06-17 02:05:05.280067
NVDA,131.88,2024-06-16 02:11:41.583625
NVDA,131.88,2024-06-15 02:00:45.257988
NVDA,129.61,2024-06-14 02:01:44.271602
NVDA,125.2,2024-06-13 02:01:38.367336
NVDA,120.91,2024-06-12 02:02:14.848891
NVDA,121.79,2024-06-11 02:02:20.558585
NVDA,949.5,2024-05-23 01:57:55.476672
NVDA,953.86,2024-05-22 01:58:26.237089
NVDA,947.8,2024-05-21 01:57:36.653036
NVDA,924.79,2024-05-20 02:00:02.013585
NVDA,924.79,2024-05-19 02:01:09.663462
NVDA,924.79,2024-05-18 01:57:02.042431
NVDA,943.46,2024-05-17 01:57:24.291037
NVDA,946.3,2024-05-16 01:57:57.783489
NVDA,913.56,2024-05-15 02:00:39.788353
NVDA,903.99,2024-05-14 01:56:33.426081
NVDA,898.78,2024-05-13 02:00:07.391331
NVDA,898.78,2024-05-12 02:00:50.360531
NVDA,898.78,2024-05-11 01:54:35.341261
NVDA,887.47,2024-05-10 02:00:08.763341
NVDA,904.12,2024-05-09 01:59:00.997365
NVDA,905.54,2024-05-08 01:36:16.626589
NVDA,921.4,2024-05-07 01:58:45.922559
NVDA,887.83,2024-05-06 01:57:49.812445
NVDA,887.83,2024-05-05 01:58:43.454047
NVDA,887.83,2024-05-04 01:53:13.494313
NVDA,858.17,2024-05-03 01:57:31.658941
NVDA,830.03,2024-05-02 01:54:51.949949
NVDA,864.02,2024-05-01 01:59:40.331360
NVDA,877.57,2024-04-30 01:54:39.320100
NVDA,877.35,2024-04-29 01:56:32.964737
NVDA,877.35,2024-04-28 01:59:46.762662
NVDA,877.35,2024-04-27 01:53:32.856753
NVDA,826.32,2024-04-26 01:54:11.688763
NVDA,796.77,2024-04-25 02:23:27.691522
NVDA,824.18,2024-04-24 01:55:23.512048
NVDA,795.18,2024-04-23 01:55:25.527009
NVDA,762.0,2024-04-22 01:58:54.256711
NVDA,762.0,2024-04-21 01:57:26.637189
NVDA,762.0,2024-04-20 01:52:52.427255
NVDA,846.71,2024-04-19 01:53:41.194894
NVDA,840.35,2024-04-18 01:52:38.928183
NVDA,874.15,2024-04-17 01:54:28.080085
NVDA,860.01,2024-04-16 01:52:47.060810
NVDA,881.86,2024-04-15 03:50:50.503069
NVDA,881.86,2024-04-14 02:56:49.862919
NVDA,881.86,2024-04-13 01:35:01.351778
NVDA,906.16,2024-04-12 01:53:46.052595
NVDA,870.39,2024-04-11 01:53:53.563517
NVDA,853.54,2024-04-10 01:52:55.956984
NVDA,871.33,2024-04-09 01:52:38.253475
NVDA,880.08,2024-04-08 01:54:23.969836
NVDA,880.08,2024-04-07 01:56:17.324348
NVDA,880.08,2024-04-06 01:49:53.201561
NVDA,859.05,2024-04-05 01:52:19.052790
NVDA,889.64,2024-04-04 01:53:56.776173
NVDA,894.52,2024-04-03 01:52:42.849629
NVDA,903.63,2024-04-02 01:55:19.806410
NVDA,903.56,2024-04-01 02:00:44.703468
NVDA,903.56,2024-03-31 01:56:17.084831
NVDA,903.56,2024-03-30 01:47:26.646764
NVDA,903.56,2024-03-29 01:50:45.786610
NVDA,902.5,2024-03-28 01:51:28.901235
NVDA,925.95,2024-03-27 01:51:24.092917
NVDA,950.02,2024-03-26 01:50:59.304286
NVDA,942.89,2024-03-25 01:53:22.999948
NVDA,942.89,2024-03-24 01:56:25.722597
NVDA,942.89,2024-03-23 01:50:46.910446
NVDA,914.35,2024-03-22 01:50:28.221350
NVDA,903.72,2024-03-21 01:53:19.229982
NVDA,893.98,2024-03-20 01:50:19.052455
NVDA,884.55,2024-03-19 01:51:06.065024
NVDA,878.36,2024-03-18 01:51:22.036008
NVDA,878.36,2024-03-17 01:53:22.912136
NVDA,878.36,2024-03-16 01:49:05.782293
NVDA,879.44,2024-03-15 01:52:25.245446
NVDA,908.88,2024-03-14 01:50:34.434327
NVDA,919.13,2024-03-13 01:52:58.864390
NVDA,857.74,2024-03-12 01:50:00.594460
NVDA,875.28,2024-03-11 01:51:00.763045
NVDA,875.28,2024-03-10 01:55:34.938320
NVDA,875.28,2024-03-09 01:43:15.499584
NVDA,926.69,2024-03-08 01:49:53.209205
NVDA,887.0,2024-03-07 01:32:55.571472
NVDA,859.64,2024-03-06 01:50:09.231874
NVDA,852.37,2024-03-05 01:50:17.468143
NVDA,822.79,2024-03-04 02:04:22.829508
NVDA,822.79,2024-03-03 01:53:45.704999
NVDA,822.79,2024-03-02 01:47:32.106143
NVDA,791.12,2024-03-01 01:56:07.948509
NVDA,776.63,2024-02-29 01:49:20.169254
NVDA,787.01,2024-02-28 01:51:18.089790
NVDA,790.92,2024-02-27 02:18:19.536808
NVDA,790.92,2024-02-26 20:44:50.448746
NVDA,446.8,2023-08-05 09:24:59.844353
